category,title,question,group,url,contact,answer
國外出差旅費報支,行政院法規,這個服務項目是關於行政院法規哦。它主要是為了規定中央政府各機關的公務人員在出差至國外時，該如何報支出差旅費。那你想知道具體的報支要點是什麼呢？,經費,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,中研院主計室,這個服務項目就是針對中央政府各機關的公務人員出國出差時，要如何報銷旅費的規定。如果你想了解具體的報支要點，我可以幫你找找相關資料喔！
國外出差旅費報支,行政院法規,行政院法規裡面有提到出差這個服務項目，主要是指公務人員在得到機關首長核准後，可以出國執行以下任務：應邀訪問外國政府、民間團體或國際組織、應外交需要進行訪問、代表政府參加國際會議或談判、業務需要的出國考察或視察，以及其他公務。那麼，請問這個行政院法規對於出差有沒有其他具體要求呢？,經費,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,中研院主計室,這個文字說明主要提到公務人員經機關首長核准出國執行任務，並舉例了五種可能的任務。不過，這段文字並沒有提到關於出差的其他具體要求。要了解更多關於出差的其他要求，可能需要查閱其他相關規定或條文。
國外出差旅費報支,行政院法規,關於行政院法規的服務項目，規定出差人員在安排出差時要考慮任務性質和事實需求，以盡量縮短行程為原則，還要在出差前向機關首長報備行程及天數。除非有特殊原因不能歸責於出差人員，否則未經核准不得延期返國。請問是否清楚這個規定呢？,經費,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,中研院主計室,了解了，這個規定是說出差時要盡量縮短行程，根據任務性質和事實需求安排。在出差前要跟機關首長報備行程和天數。除非是特殊情況不是自己的責任，否則沒有核准不能延期回國。
國外出差旅費報支,行政院法規,關於行政院的法規，出差旅費主要分為三大類，分別是交通費、生活費和辦公費。交通費包括搭乘飛機、船舶和長途大眾陸運工具的費用；生活費則包含出差人員的住宿費、膳食費以及零用費；辦公費涵蓋出國手續費、保險費、行政費以及禮品交際和雜費。零用費包括了市區各種交通票費、信用卡手續費、洗衣費等相關費用，而禮品交際和雜費則包括禮品費、交際費等費用。有關這部分的內容，您還有什麼問題嗎？,經費,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,中研院主計室,行政院的法規把出差旅費分成三類，分別是交通費、生活費跟辦公費。交通費主要是搭飛機、船或其他長新交通的花費；生活費包括住宿、吃飯跟零用錢；辦公費則包括出國手續費、保險費、行政費以及給禮物跟其他雜費。零用錢裡面包括各種市區交通票、信用卡手續費、洗衣費等；而禮品跟雜費就是給禮物、交際等相關費用。關於這方面的資訊，你還有其他問題嗎？
國外出差旅費報支,行政院法規,關於行政院法規中的出差人員交通工具的等級安排，規定了不同級別的人員可以搭乘不同等級的座位。部長級人員和特使可以乘坐最高等級座位，次長級人員和其他特定職位的人員可以乘坐次高等級座位，而其他則乘坐基礎等級座位。這樣有關出差人員的交通座位分配，你了解了嗎？,經費,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,中研院主計室,了解了，根據規定，不同級別的出差人員可以搭乘不同等級的座位。部長級人員和特使可以搭最高等級的座位，次長級人員和其他特定職位的人員可以搭次高等級的座位，其他人員則搭基礎等級座位。
國外出差旅費報支,行政院法規,我們的服務項目是行政院法規，其中有一項說明是關於出差人員報支搭乘飛機的交通費。要報支的話，需要提供以下幾份文件：機票票根或電子機票、國際線航空機票購票證明單或相關收據，以及登機證存根或證明出國事實的文件。其他交通費報支則根據不同情況檢附相對應的單據。請問你是否清楚這些規定？,經費,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,中研院主計室,我明白了，出差人員報支搭乘飛機的交通費需要提供機票票根或電子機票，國際線機票購票證明單或相關收據，還要有登機證存根或證明出國事實的文件。其他交通費報支也要根據情況檢附相對應的單據。
國外出差旅費報支,行政院法規,你知道行政院法規裡有一個規定，是關於出差人員在國外的生活費日支數額表嗎？而這個日支數額是怎麼分配的呢？,經費,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,中研院主計室,對，我知道行政院有一個相關的規定。根據規定，生活費日支數額的分配是這樣的：住宿費占百分之七十，膳食費占百分之二十，零用費占百分之十。
國外出差旅費報支,行政院法規,關於行政院法規的服務項目，其中一項是指代表政府出席國際會議或談判，若住宿費超過該地區生活費日支數額百分之七十，可以檢據覈實報支。而與民間企業共同赴國外考察、參展、部長級人員出國參訪等情況也是如此。另外，部長級人員出國時可以指定隨行人員一人，其住宿費同樣依照這個標準報支。所以，你了解這個服務項目的內容以及報支標準了嗎？,經費,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,中研院主計室,我了解了，這個服務項目主要是說如果政府代表出席國際會議、談判，或是與民間企業一起出國考察、參展、部長級人員出國參訪等，住宿費超過當地生活費日支數額的70%，就可以據實報支。而部長級人員出國時，可以指定一位隨行人員，也適用同樣的報支標準。
國外出差旅費報支,行政院法規,在行政院法規中，出差時外國政府或國際組織提供膳宿或現金津貼的情況下，如何依據不同情況計算生活費呢？,經費,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,中研院主計室,"在出差時，若外國政府或國際組織提供膳宿或現金津貼，計算生活費的方法分為以下幾種情況：

1. 若提供膳宿，且現金津貼未達當地生活費日支數額百分之十，可以按日報支或補足當地生活費日支數額百分之十的零用費。
2. 若只提供膳，沒有提供宿，也現金津貼未達當地生活費日支數額百分之十，可以按日報支當地生活費日支數額百分之七十的住宿費，並且報支或補足當地生活費日支數額百分之十的零用費。
3. 若只提供宿，沒有提供膳，現金津貼也未達當地生活費日支數額百分之十，可以按日報支當地生活費日支數額百分之二十的膳食費，並且報支或補足當地生活費日支數額百分之十的零用費。

如果只提供部分膳食，可以按照生活費日支數額的百分比來計算，早餐是百分之四，中餐和晚餐都是百分之八，然後補足未提供的餐費。

最後，返國當日的生活費可以按當地生活費日支數額的百分之三十報支。"
國外出差旅費報支,行政院法規,關於行政院法規的服務項目，主要是針對調用駐外人員在其駐在國出差執行業務時的交通費和生活費核銷。生活費的支給規定分為駐在地區（城市）範圍內與範圍以外兩種情況。那麼，若出差在駐在地區範圍內時，生活費該如何計算和報支呢？,經費,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,中研院主計室,如果出差在駐在地區範圍內的話，原則上是當天就往返，不用住宿。這樣的情況下，生活費報支是該地區生活費日支數額的20%。如果真的有需要住宿旅館，除了特殊情況，生活費報支則是該地區生活費日支數額的90%。
