index,category,title,question,group,url,contact,answer
387,réglementation de la propriété intellectuelle,Méthodes d’attribution et d’application des résultats de la recherche et du développement scientifique et technologique de l’Academia Sinica,Comment sont principalement définies les modalités de propriété et d’utilisation des résultats de la recherche et du développement scientifique et technologique de l’Academia Sinica ?,académique,https://iptt.sinica.edu.tw/pages/1292,"Division de la propriété intellectuelle, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","Ce règlement décrit principalement la manière dont l'Academia Sinica gère son budget et ses revenus pour la recherche et le développement technologique. Ils sont réglementés conformément aux articles 6 et 13 de la Loi fondamentale de la science et de la technologie. Il s'agit principalement de discuter de la manière d'utiliser les résultats et les avantages de la recherche scientifique de manière équitable et efficace, en tenant compte de la nature de la recherche, du potentiel d'application, du bien-être social, de la sécurité nationale et de l'impact sur le marché. En plus de devoir être alloués au Fonds national de développement scientifique et technologique, les résultats et les revenus de la recherche de l'Academia Sinica resteront au sein de l'Academia Sinica et seront ensuite alloués aux fonds de recherche scientifique d'une manière similaire au budget des unités affiliées."
388,réglementation de la propriété intellectuelle,Méthodes d’attribution et d’application des résultats de la recherche et du développement scientifique et technologique de l’Academia Sinica,Que signifie le « principe d'équité et d'efficacité » mentionné dans la Loi fondamentale de la science et de la technologie ?,académique,https://iptt.sinica.edu.tw/pages/1292,"Division de la propriété intellectuelle, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","Le concept de « principe d'équité et d'efficacité » signifie que dans le processus d'attribution et d'application des résultats de recherche et développement et de leurs revenus, la proportion de capital et de travail investie et la contribution à la recherche globale doivent également être prises en considération. ainsi que la nature des résultats de la recherche scientifique et technologique, le potentiel d'application, le bien-être social, la sécurité nationale et l'impact sur le marché. Cela signifie que lorsque nous traitons de ces questions, nous devons le faire de manière équitable et dans l’intérêt de toutes les parties."
389,réglementation de la propriété intellectuelle,Méthodes d’attribution et d’application des résultats de la recherche et du développement scientifique et technologique de l’Academia Sinica,Cette méthode précise-t-elle le mode de répartition des revenus des résultats ?,académique,https://iptt.sinica.edu.tw/pages/1292,"Division de la propriété intellectuelle, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","Oui, les mesures mentionnent que l'attribution et l'utilisation des résultats et de leurs revenus doivent être fondées sur les principes d'équité et d'efficacité, en tenant compte de la proportion et de la contribution du capital et des services du travail. Dans le même temps, les mesures de répartition des bénéfices, d'évitement et autres questions seront uniformément planifiées et formulées par le Yuan exécutif. La part appartenant à l'Academia Sinica peut être allouée au fonds de recherche scientifique selon le budget de l'unité affiliée."
390,réglementation de la propriété intellectuelle,Méthodes d’attribution et d’application des résultats de la recherche et du développement scientifique et technologique de l’Academia Sinica,Cette mesure implique-t-elle la gestion des droits de propriété intellectuelle ?,académique,https://iptt.sinica.edu.tw/pages/1292,"Division de la propriété intellectuelle, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","Oui, cette méthode vise à gérer efficacement la recherche et le développement scientifique et technologique menés par l’Academia Sinica, y compris les droits de propriété intellectuelle et les revenus provenant des résultats."
391,réglementation de la propriété intellectuelle,Méthodes d’attribution et d’application des résultats de la recherche et du développement scientifique et technologique de l’Academia Sinica,Comment garantir que les résultats de la recherche et du développement scientifiques et technologiques peuvent contribuer au bien-être social ou à la sécurité nationale ?,académique,https://iptt.sinica.edu.tw/pages/1292,"Division de la propriété intellectuelle, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","Conformément à l'article 6, paragraphe 3, de la Loi fondamentale sur la science et la technologie, la nature, le potentiel d'application, l'impact sur le bien-être social et la sécurité nationale des résultats de la recherche et du développement scientifique et technologique ainsi que leur impact sur le marché doivent être pris en compte. Tout cela est planifié et formulé par le Yuan exécutif. En d’autres termes, l’objectif, les exigences, le délai, la portée, la proportion, les méthodes de gestion, etc. de ces réalisations doivent être revus et planifiés par le Yuan exécutif pour s’assurer qu’ils peuvent contribuer au bien-être social ou à la sécurité nationale. En outre, chaque autorité compétente peut également formuler des lois et réglementations pertinentes pour mettre en œuvre cette disposition."
392,réglementation de la propriété intellectuelle,Méthodes d’attribution et d’application des résultats de la recherche et du développement scientifique et technologique de l’Academia Sinica,Quelles sont les réglementations pertinentes que les différentes autorités compétentes doivent suivre lors de la mise en œuvre de cette mesure ?,académique,https://iptt.sinica.edu.tw/pages/1292,"Division de la propriété intellectuelle, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","Lors de la mise en œuvre de cette mesure, les réglementations pertinentes que les différentes autorités compétentes doivent suivre comprennent l'article 6, paragraphe 3, et l'article 13, paragraphe 4, de la Loi fondamentale de la science et de la technologie, ainsi que les réglementations sur la propriété et l'utilisation des ressources scientifiques. et les résultats de la recherche et du développement technologique de l'Academia Sinica."
393,réglementation de la propriété intellectuelle,Méthodes d’attribution et d’application des résultats de la recherche et du développement scientifique et technologique de l’Academia Sinica,"Une partie des résultats de la recherche et du développement de l’Academia Sinica et de ses revenus doit être allouée au Fonds national de développement scientifique et technologique. Alors, que faut-il faire avec la partie restante ?",académique,https://iptt.sinica.edu.tw/pages/1292,"Division de la propriété intellectuelle, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","La partie restante appartiendra à l’Academia Sinica elle-même. Ils suivront les réglementations correspondantes et utiliseront l’argent pour la recherche et le développement scientifiques. Cela inclut également la gestion et l'application de leurs propres droits de propriété intellectuelle, ainsi que d'autres revenus issus de la recherche et du développement."
394,réglementation de la propriété intellectuelle,Méthodes d’attribution et d’application des résultats de la recherche et du développement scientifique et technologique de l’Academia Sinica,À quoi fait référence les « Mesures pour l'attribution et l'utilisation des résultats de recherche et de développement scientifique et technologique de l'Academia Sinica » ?,académique,https://iptt.sinica.edu.tw/pages/1292,"Division de la propriété intellectuelle, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","""Méthodes d'attribution et d'utilisation des résultats de recherche et de développement scientifique et technologique de l'Academia Sinica"" fait référence aux diverses connaissances, technologies et travaux produits par le personnel de l'Academia Sinica à la suite de son travail, ainsi qu'aux produits, configurations de circuits intégrés, logiciels informatiques et produits commerciaux produits au sein de l'académie. Confidentialité, connaissances professionnelles et autres données techniques, ainsi que les droits de brevet nationaux et étrangers obtenus ainsi, les publications de l'Academia Sinica, et autres droits de propriété intellectuelle et tous droits dérivés. Il est également responsable de la gestion et de l'utilisation de ces résultats de R&D, y compris la consultation, la consultation, l'examen, l'application, les revenus, l'utilisation, le transfert de technologie, l'autorisation d'utilisation, la nomination, la confiance, la consultation en cas de litige, la maintenance, etc. Les méthodes de gestion et d’utilisation des publications de l’Academia Sinica sont formulées séparément. Quant aux structures de circuits intégrés, aux logiciels informatiques et aux ouvrages dérivés tels que manuels et instructions, ils sont traités selon cette méthode. Les droits de propriété intellectuelle donnés ou hébergés par Academia Sinica seront également traités selon cette méthode."
395,réglementation de la propriété intellectuelle,Méthodes d’attribution et d’application des résultats de la recherche et du développement scientifique et technologique de l’Academia Sinica,Que comprennent exactement les « résultats de recherche et développement » de cette approche ?,académique,https://iptt.sinica.edu.tw/pages/1292,"Division de la propriété intellectuelle, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","Les « résultats de recherche et développement » de cette méthode comprennent les connaissances, la technologie, les travaux issus du travail du personnel de l'Academia Sinica et les produits fabriqués dans l'institut. Comprend également la configuration des circuits intégrés, les logiciels informatiques, les secrets commerciaux, les connaissances professionnelles et d'autres informations techniques. En outre, les droits de brevet nationaux et étrangers, les publications de l'Academia Sinica, d'autres droits de propriété intellectuelle et tous les droits dérivés obtenus par ceux-ci sont également inclus."
396,réglementation de la propriété intellectuelle,Méthodes d’attribution et d’application des résultats de la recherche et du développement scientifique et technologique de l’Academia Sinica,Quels processus sont inclus dans la gestion et l’application des résultats de R&D ?,académique,https://iptt.sinica.edu.tw/pages/1292,"Division de la propriété intellectuelle, Academia Sinica
2787-2554
ip@gate.sinica.edu.tw","Il existe de nombreux processus différents pour la gestion et l'utilisation des résultats de R&D, notamment la négociation, la consultation, l'examen, la demande, les revenus, l'utilisation, le transfert de technologie, l'autorisation d'utilisation, la nomination, la confiance, la consultation en cas de litige, la maintenance et ceux liés aux droits des résultats de R&D. .Autres questions connexes."
